"topicId","split","topicText","topicTarget","topicSentiment","claims.claimId","claims.stance","claims.claimCorrectedText","claims.claimOriginalText","claims.article.rawFile","claims.article.rawSpan.start","claims.article.rawSpan.end","claims.article.cleanFile","claims.article.cleanSpan.start","claims.article.cleanSpan.end","claims.Compatible","claims.claimTarget.text","claims.claimTarget.span.start","claims.claimTarget.span.end","claims.claimSentiment","claims.targetsRelation"
"1","test","This house believes that the sale of violent video games to minors should be banned","the sale of violent video games to minors","-1","2973","PRO","Exposure to violent video games causes at least a temporary increase in aggression and this exposure correlates with aggression in the real world","exposure to violent video games causes at least a temporary increase in aggression and that this exposure correlates with aggression in the real world","articles/t1/raw_1.txt","490","640","articles/t1/clean_1.txt","418","568","yes","Exposure to violent video games","0","31","-1","1"
"1","test","This house believes that the sale of violent video games to minors should be banned","the sale of violent video games to minors","-1","2974","CON","video game violence is not related to serious aggressive behavior in real life","video game violence is not related to serious aggressive behavior in real life","articles/t1/raw_1.txt","1619","1697","articles/t1/clean_1.txt","829","907","yes","video game violence","0","19","1","1"
"1","test","This house believes that the sale of violent video games to minors should be banned","the sale of violent video games to minors","-1","2975","CON","some violent video games may actually have a prosocial effect in some contexts","some violent video games may actually have a prosocial effect in some contexts","articles/t1/raw_1.txt","2011","2089","articles/t1/clean_1.txt","1004","1082","yes","some violent video games","0","24","1","1"
"1","test","This house believes that the sale of violent video games to minors should be banned","the sale of violent video games to minors","-1","2977","PRO","exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior","exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior","articles/t1/raw_1.txt","3560","3695","articles/t1/clean_1.txt","1442","1577","yes","exposure to violent video games","0","31","-1","1"
"1","test","This house believes that the sale of violent video games to minors should be banned","the sale of violent video games to minors","-1","2978","PRO","Violent video games increase the violent tendencies among youth","they increase the violent tendencies among youth","articles/t1/raw_1.txt","8119","8167","articles/t1/clean_1.txt","3900","3948","yes","Violent video games","0","19","-1","1"
"1","test","This house believes that the sale of violent video games to minors should be banned","the sale of violent video games to minors","-1","2979","CON","No conclusive link was found between video game usage and violent activity","have shown no conclusive link between video game usage and violent activity","articles/t1/raw_1.txt","9092","9167","articles/t1/clean_1.txt","4124","4199","yes","video game usage","37","53","1","1"
"1","test","This house believes that the sale of violent video games to minors should be banned","the sale of violent video games to minors","-1","2980","PRO","violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior","violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior","articles/t1/raw_1.txt","11403","11587","articles/t1/clean_1.txt","5608","5792","yes","violent video games","0","19","-1","1"
"1","test","This house believes that the sale of violent video games to minors should be banned","the sale of violent video games to minors","-1","2981","PRO","video game publishers unethically train children in the use of weapons and, more importantly, harden them emotionally to the act of murder","video game publishers unethically train children in the use of weapons and, more importantly, harden them emotionally to the act of murder","articles/t1/raw_1.txt","13767","13905","articles/t1/clean_1.txt","7084","7222","yes","video game publishers","0","21","-1","1"
"1","test","This house believes that the sale of violent video games to minors should be banned","the sale of violent video games to minors","-1","2982","PRO","violent video games may increase mild forms of aggressive behavior in children and young adults","violent video games may increase mild forms of aggressive behavior in children and young adults","articles/t1/raw_1.txt","14385","14480","articles/t1/clean_1.txt","7476","7571","yes","violent video games","0","19","-1","1"
"1","test","This house believes that the sale of violent video games to minors should be banned","the sale of violent video games to minors","-1","2983","PRO","exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior","exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior","articles/t1/raw_1.txt","14508","14664","articles/t1/clean_1.txt","7599","7755","yes","exposure to violent video games","0","31","-1","1"
